,LineId,Time,Component,Pid,Content,template,EventId
44,45,20171223-22:15:32:648,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7013##548365##8661##12836##27176966,setTodayTotalDetailSteps= <*>,Event59
45,46,20171223-22:15:32:656,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126904,calculateCaloriesWithCache totalCalories= <*>,Event60
46,47,20171223-22:15:32:658,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude= <*>,Event61
47,48,20171223-22:15:32:659,Step_StandReportReceiver,30002312,REPORT : 7013 5007 150218 240,REPORT : <*> <*> <*> <*>,Event51
48,49,20171223-22:15:32:840,Step_LSC,30002312,onStandStepChanged 3586,onStandStepChanged <*>,Event56
49,50,20171223-22:15:32:846,Step_LSC,30002312,onExtend:1514038533000 1 0 4,onExtend: <*> <*> <*> <*>,Event57
50,51,20171223-22:15:33:144,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7013##548365##8661##12836##27176966, getTodayTotalDetailSteps = <*>,Event58
51,52,20171223-22:15:33:144,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7014##548365##8661##12931##27177463,setTodayTotalDetailSteps= <*>,Event59
52,53,20171223-22:15:33:148,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126925,calculateCaloriesWithCache totalCalories= <*>,Event60
53,54,20171223-22:15:33:149,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude= <*>,Event61
54,55,20171223-22:15:33:149,Step_StandReportReceiver,30002312,REPORT : 7014 5007 150239 240,REPORT : <*> <*> <*> <*>,Event51
55,56,20171223-22:15:33:341,Step_LSC,30002312,onStandStepChanged 3587,onStandStepChanged <*>,Event56
56,57,20171223-22:15:33:370,Step_LSC,30002312,onExtend:1514038534000 1 0 4,onExtend: <*> <*> <*> <*>,Event57
57,58,20171223-22:15:33:643,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7014##548365##8661##12931##27177463, getTodayTotalDetailSteps = <*>,Event58
58,59,20171223-22:15:33:644,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7015##548365##8661##13026##27177962,setTodayTotalDetailSteps= <*>,Event59
59,60,20171223-22:15:33:658,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126947,calculateCaloriesWithCache totalCalories= <*>,Event60
60,61,20171223-22:15:33:662,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude= <*>,Event61
61,62,20171223-22:15:33:663,Step_StandReportReceiver,30002312,REPORT : 7015 5008 150261 240,REPORT : <*> <*> <*> <*>,Event51
62,63,20171223-22:15:34:711,Step_LSC,30002312,onStandStepChanged 3588,onStandStepChanged <*>,Event56
63,64,20171223-22:15:34:723,Step_LSC,30002312,onExtend:1514038535000 1 0 4,onExtend: <*> <*> <*> <*>,Event57
64,65,20171223-22:15:34:723,Step_StandReportReceiver,30002312,onReceive action: android.intent.action.SCREEN_OFF,onReceive action: android.intent.action.SCREEN_OFF,Event62
65,66,20171223-22:15:34:848,Step_LSC,30002312,onStandStepChanged 3589,onStandStepChanged <*>,Event56
66,67,20171223-22:15:34:851,Step_LSC,30002312,onExtend:1514038535000 1 0 4,onExtend: <*> <*> <*> <*>,Event57
67,68,20171223-22:15:35:11,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7015##548365##8661##13026##27177962, getTodayTotalDetailSteps = <*>,Event58
68,69,20171223-22:15:35:12,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13121##27179330,setTodayTotalDetailSteps= <*>,Event59
69,70,20171223-22:15:35:20,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126989,calculateCaloriesWithCache totalCalories= <*>,Event60
70,71,20171223-22:15:35:22,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude= <*>,Event61
71,72,20171223-22:15:35:23,Step_ScreenUtil,30002312,isScreenOn true,isScreenOn true,Event0
72,73,20171223-22:15:35:23,Step_StandReportReceiver,30002312,"screen status unknown,think screen on","screen0 status unknown, think screen1 on",Event1
73,74,20171223-22:15:35:23,Step_StandReportReceiver,30002312,REPORT : 7017 5010 150304 240,REPORT : <*> <*> <*> <*>,Event51
74,75,20171223-22:15:35:96,Step_StandReportReceiver,30002312,onReceive action: android.intent.action.SCREEN_ON,onReceive action: android.intent.action.SCREEN_ON,Event34
75,76,20171223-22:15:35:97,Step_LSC,30002312,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,processHandleBroadcastAction action: android.intent.action.SCREEN_ON,Event35
76,77,20171223-22:15:35:97,Step_StandStepCounter,30002312,flush sensor data,flush sensor data,Event36
77,78,20171223-22:15:35:98,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7017##548365##8661##13121##27179330, getTodayTotalDetailSteps = <*>,Event58
78,79,20171223-22:15:35:98,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13216##27179417,setTodayTotalDetailSteps= <*>,Event59
79,80,20171223-22:15:35:98,Step_LSC,30002312,onStandStepChanged 3589,onStandStepChanged <*>,Event56
80,81,20171223-22:15:35:104,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126989,calculateCaloriesWithCache totalCalories= <*>,Event60
81,82,20171223-22:15:35:112,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude= <*>,Event61
82,83,20171223-22:15:35:112,Step_StandReportReceiver,30002312,REPORT : 7017 5010 150304 240,REPORT : <*> <*> <*> <*>,Event51
83,84,20171223-22:15:35:198,Step_LSC,30002312,onStandStepChanged 3589,onStandStepChanged <*>,Event56
84,85,20171223-22:15:35:201,Step_LSC,30002312,onExtend:1514038536000 0 0 4,onExtend: <*> <*> <*> <*>,Event57
85,86,20171223-22:15:35:348,Step_LSC,30002312,onStandStepChanged 3590,onStandStepChanged <*>,Event56
86,87,20171223-22:15:35:352,Step_LSC,30002312,onExtend:1514038536000 1 0 4,onExtend: <*> <*> <*> <*>,Event57
87,88,20171223-22:15:35:413,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7017##548365##8661##13216##27179417, getTodayTotalDetailSteps = <*>,Event58
88,89,20171223-22:15:35:413,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7018##548365##8661##13311##27179732,setTodayTotalDetailSteps= <*>,Event59
89,90,20171223-22:15:35:418,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127011,calculateCaloriesWithCache totalCalories= <*>,Event60
90,91,20171223-22:15:35:421,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude= <*>,Event61
91,92,20171223-22:15:35:421,Step_StandReportReceiver,30002312,REPORT : 7018 5010 150325 240,REPORT : <*> <*> <*> <*>,Event51
92,93,20171223-22:15:35:848,Step_LSC,30002312,onStandStepChanged 3591,onStandStepChanged <*>,Event56
93,94,20171223-22:15:35:852,Step_LSC,30002312,onExtend:1514038536000 1 0 4,onExtend: <*> <*> <*> <*>,Event57
94,95,20171223-22:15:36:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7018##548365##8661##13311##27179732, getTodayTotalDetailSteps = <*>,Event58
95,96,20171223-22:15:36:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7019##548365##8661##13406##27180468,setTodayTotalDetailSteps= <*>,Event59
96,97,20171223-22:15:36:154,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127032,calculateCaloriesWithCache totalCalories= <*>,Event60
97,98,20171223-22:15:36:157,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude= <*>,Event61
98,99,20171223-22:15:36:157,Step_StandReportReceiver,30002312,REPORT : 7019 5011 150346 240,REPORT : <*> <*> <*> <*>,Event51
99,100,20171223-22:15:36:356,Step_LSC,30002312,onStandStepChanged 3592,onStandStepChanged <*>,Event56
100,101,20171223-22:15:36:365,Step_LSC,30002312,onExtend:1514038537000 1 0 4,onExtend: <*> <*> <*> <*>,Event57
101,102,20171223-22:15:36:657,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7019##548365##8661##13406##27180468, getTodayTotalDetailSteps = <*>,Event58
102,103,20171223-22:15:36:657,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7020##548365##8661##13501##27180976,setTodayTotalDetailSteps= <*>,Event59
103,104,20171223-22:15:36:668,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127054,calculateCaloriesWithCache totalCalories= <*>,Event60
104,105,20171223-22:15:36:672,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude= <*>,Event61
105,106,20171223-22:15:36:673,Step_StandReportReceiver,30002312,REPORT : 7020 5012 150368 240,REPORT : <*> <*> <*> <*>,Event51
106,107,20171223-22:15:37:351,Step_LSC,30002312,onStandStepChanged 3593,onStandStepChanged <*>,Event56
107,108,20171223-22:15:37:361,Step_LSC,30002312,onExtend:1514038538000 1 0 4,onExtend: <*> <*> <*> <*>,Event57
108,109,20171223-22:15:37:652,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7020##548365##8661##13501##27180976, getTodayTotalDetailSteps = <*>,Event58
109,110,20171223-22:15:37:653,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7021##548365##8661##13596##27181971,setTodayTotalDetailSteps= <*>,Event59
110,111,20171223-22:15:37:666,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127075,calculateCaloriesWithCache totalCalories= <*>,Event60
111,112,20171223-22:15:37:670,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude= <*>,Event61
112,113,20171223-22:15:37:671,Step_StandReportReceiver,30002312,REPORT : 7021 5012 150389 240,REPORT : <*> <*> <*> <*>,Event51
113,114,20171223-22:15:37:848,Step_LSC,30002312,onStandStepChanged 3594,onStandStepChanged <*>,Event56
114,115,20171223-22:15:37:858,Step_LSC,30002312,onExtend:1514038538000 1 0 4,onExtend: <*> <*> <*> <*>,Event57
115,116,20171223-22:15:38:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7021##548365##8661##13596##27181971, getTodayTotalDetailSteps = <*>,Event58
116,117,20171223-22:15:38:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7022##548365##8661##13691##27182468,setTodayTotalDetailSteps= <*>,Event59
117,118,20171223-22:15:38:159,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127097,calculateCaloriesWithCache totalCalories= <*>,Event60
118,119,20171223-22:15:38:164,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude= <*>,Event61
119,120,20171223-22:15:38:164,Step_StandReportReceiver,30002312,REPORT : 7022 5013 150411 240,REPORT : <*> <*> <*> <*>,Event51
120,121,20171223-22:15:38:349,Step_LSC,30002312,onStandStepChanged 3595,onStandStepChanged <*>,Event56
121,122,20171223-22:15:38:361,Step_LSC,30002312,onExtend:1514038539000 1 0 4,onExtend: <*> <*> <*> <*>,Event57
122,123,20171223-22:15:38:653,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7022##548365##8661##13691##27182468, getTodayTotalDetailSteps = <*>,Event58
123,124,20171223-22:15:38:654,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7023##548365##8661##13786##27182973,setTodayTotalDetailSteps= <*>,Event59
124,125,20171223-22:15:38:665,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127118,calculateCaloriesWithCache totalCalories= <*>,Event60
125,126,20171223-22:15:38:669,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude= <*>,Event61
126,127,20171223-22:15:38:669,Step_StandReportReceiver,30002312,REPORT : 7023 5014 150432 240,REPORT : <*> <*> <*> <*>,Event51
127,128,20171223-22:15:38:850,Step_LSC,30002312,onStandStepChanged 3596,onStandStepChanged <*>,Event56
128,129,20171223-22:15:38:868,Step_LSC,30002312,onExtend:1514038539000 1 0 4,onExtend: <*> <*> <*> <*>,Event57
129,130,20171223-22:15:39:150,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7023##548365##8661##13786##27182973, getTodayTotalDetailSteps = <*>,Event58
130,131,20171223-22:15:39:151,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7024##548365##8661##13881##27183469,setTodayTotalDetailSteps= <*>,Event59
131,132,20171223-22:15:39:155,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127139,calculateCaloriesWithCache totalCalories= <*>,Event60
132,133,20171223-22:15:39:156,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude= <*>,Event61
133,134,20171223-22:15:39:156,Step_StandReportReceiver,30002312,REPORT : 7024 5015 150454 240,REPORT : <*> <*> <*> <*>,Event51
134,135,20171223-22:15:39:348,Step_LSC,30002312,onStandStepChanged 3597,onStandStepChanged <*>,Event56
135,136,20171223-22:15:39:354,Step_LSC,30002312,onExtend:1514038540000 1 0 4,onExtend: <*> <*> <*> <*>,Event57
136,137,20171223-22:15:39:655,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7024##548365##8661##13881##27183469, getTodayTotalDetailSteps = <*>,Event58
137,138,20171223-22:15:39:656,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7025##548365##8661##13976##27183974,setTodayTotalDetailSteps= <*>,Event59
138,139,20171223-22:15:39:665,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127161,calculateCaloriesWithCache totalCalories= <*>,Event60
139,140,20171223-22:15:39:669,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude= <*>,Event61
140,141,20171223-22:15:39:669,Step_StandReportReceiver,30002312,REPORT : 7025 5015 150475 240,REPORT : <*> <*> <*> <*>,Event51
141,142,20171223-22:15:40:349,Step_LSC,30002312,onStandStepChanged 3598,onStandStepChanged <*>,Event56
142,143,20171223-22:15:40:365,Step_LSC,30002312,onExtend:1514038541000 1 0 4,onExtend: <*> <*> <*> <*>,Event57
143,144,20171223-22:15:40:652,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7025##548365##8661##13976##27183974, getTodayTotalDetailSteps = <*>,Event58
144,145,20171223-22:15:40:653,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7026##548365##8661##14071##27184972,setTodayTotalDetailSteps= <*>,Event59
145,146,20171223-22:15:40:668,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127182,calculateCaloriesWithCache totalCalories= <*>,Event60
146,147,20171223-22:15:40:675,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude= <*>,Event61
147,148,20171223-22:15:40:676,Step_StandReportReceiver,30002312,REPORT : 7026 5016 150496 240,REPORT : <*> <*> <*> <*>,Event51
148,149,20171223-22:15:40:848,Step_LSC,30002312,onStandStepChanged 3599,onStandStepChanged <*>,Event56
149,150,20171223-22:15:40:852,Step_LSC,30002312,onExtend:1514038541000 1 0 4,onExtend: <*> <*> <*> <*>,Event57
150,151,20171223-22:15:41:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7026##548365##8661##14071##27184972, getTodayTotalDetailSteps = <*>,Event58
151,152,20171223-22:15:41:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7027##548365##8661##14166##27185467,setTodayTotalDetailSteps= <*>,Event59
152,153,20171223-22:15:41:152,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127204,calculateCaloriesWithCache totalCalories= <*>,Event60
153,154,20171223-22:15:41:153,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude= <*>,Event61
154,155,20171223-22:15:41:153,Step_StandReportReceiver,30002312,REPORT : 7027 5017 150518 240,REPORT : <*> <*> <*> <*>,Event51
155,156,20171223-22:15:41:353,Step_LSC,30002312,onStandStepChanged 3600,onStandStepChanged <*>,Event56
156,157,20171223-22:15:41:358,Step_LSC,30002312,onExtend:1514038542000 1 0 4,onExtend: <*> <*> <*> <*>,Event57
157,158,20171223-22:15:41:658,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7027##548365##8661##14166##27185467, getTodayTotalDetailSteps = <*>,Event58
158,159,20171223-22:15:41:658,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7028##548365##8661##14261##27185977,setTodayTotalDetailSteps= <*>,Event59
159,160,20171223-22:15:41:667,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127225,calculateCaloriesWithCache totalCalories= <*>,Event60
160,161,20171223-22:15:41:670,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude= <*>,Event61
161,162,20171223-22:15:41:672,Step_StandReportReceiver,30002312,REPORT : 7028 5017 150539 240,REPORT : <*> <*> <*> <*>,Event51
162,163,20171223-22:15:41:848,Step_LSC,30002312,onStandStepChanged 3601,onStandStepChanged <*>,Event56
163,164,20171223-22:15:41:856,Step_LSC,30002312,onExtend:1514038542000 1 0 4,onExtend: <*> <*> <*> <*>,Event57
164,165,20171223-22:15:42:150,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7028##548365##8661##14261##27185977, getTodayTotalDetailSteps = <*>,Event58
165,166,20171223-22:15:42:151,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7029##548365##8661##14356##27186469,setTodayTotalDetailSteps= <*>,Event59
166,167,20171223-22:15:42:160,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127246,calculateCaloriesWithCache totalCalories= <*>,Event60
167,168,20171223-22:15:42:164,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude= <*>,Event61
168,169,20171223-22:15:42:165,Step_StandReportReceiver,30002312,REPORT : 7029 5018 150561 240,REPORT : <*> <*> <*> <*>,Event51
169,170,20171223-22:15:42:848,Step_LSC,30002312,onStandStepChanged 3602,onStandStepChanged <*>,Event56
170,171,20171223-22:15:42:852,Step_LSC,30002312,onExtend:1514038543000 1 0 4,onExtend: <*> <*> <*> <*>,Event57
171,172,20171223-22:15:43:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7029##548365##8661##14356##27186469, getTodayTotalDetailSteps = <*>,Event58
172,173,20171223-22:15:43:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7030##548365##8661##14451##27187468,setTodayTotalDetailSteps= <*>,Event59
173,174,20171223-22:15:43:160,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127268,calculateCaloriesWithCache totalCalories= <*>,Event60
174,175,20171223-22:15:43:163,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude= <*>,Event61
175,176,20171223-22:15:43:164,Step_StandReportReceiver,30002312,REPORT : 7030 5019 150582 240,REPORT : <*> <*> <*> <*>,Event51
176,177,20171223-22:15:43:348,Step_LSC,30002312,onStandStepChanged 3603,onStandStepChanged <*>,Event56
177,178,20171223-22:15:43:354,Step_LSC,30002312,onExtend:1514038544000 1 0 4,onExtend: <*> <*> <*> <*>,Event57
178,179,20171223-22:15:43:649,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7030##548365##8661##14451##27187468, getTodayTotalDetailSteps = <*>,Event58
179,180,20171223-22:15:43:650,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7031##548365##8661##14546##27187968,setTodayTotalDetailSteps= <*>,Event59
180,181,20171223-22:15:43:677,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127289,calculateCaloriesWithCache totalCalories= <*>,Event60
181,182,20171223-22:15:43:679,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude= <*>,Event61
182,183,20171223-22:15:43:679,Step_StandReportReceiver,30002312,REPORT : 7031 5020 150604 240,REPORT : <*> <*> <*> <*>,Event51
183,184,20171223-22:15:43:850,Step_LSC,30002312,onStandStepChanged 3604,onStandStepChanged <*>,Event56
184,185,20171223-22:15:43:861,Step_LSC,30002312,onExtend:1514038544000 1 0 4,onExtend: <*> <*> <*> <*>,Event57
185,186,20171223-22:15:44:152,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7031##548365##8661##14546##27187968, getTodayTotalDetailSteps = <*>,Event58
186,187,20171223-22:15:44:152,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7032##548365##8661##14641##27188471,setTodayTotalDetailSteps= <*>,Event59
187,188,20171223-22:15:44:163,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127311,calculateCaloriesWithCache totalCalories= <*>,Event60
