,LineId,Time,Program,Content,template,EventId
23,24,10.30 16:49:09,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1165 bytes (1.13 KB) sent, 0 bytes received, lifetime <1 sec","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
24,25,10.30 16:49:09,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
25,26,10.30 16:49:09,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
26,27,10.30 16:49:09,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
27,28,10.30 16:49:09,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 19904 bytes (19.4 KB) sent, 27629 bytes (26.9 KB) received, lifetime 02:19","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
28,29,10.30 16:49:09,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
29,30,10.30 16:49:10,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1118 bytes (1.09 KB) sent, 340 bytes received, lifetime <1 sec","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
30,31,10.30 16:49:10,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
31,32,10.30 16:49:10,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
32,33,10.30 16:49:10,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1143 bytes (1.11 KB) sent, 365 bytes received, lifetime 00:01","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
33,34,10.30 16:49:10,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1093 bytes (1.06 KB) sent, 1006 bytes received, lifetime 00:01","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
34,35,10.30 16:49:10,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 428 bytes sent, 5365 bytes (5.23 KB) received, lifetime <1 sec","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
35,36,10.30 16:49:10,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
36,37,10.30 16:49:10,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
37,38,10.30 16:49:10,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
38,39,10.30 16:49:10,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1268 bytes (1.23 KB) sent, 6274 bytes (6.12 KB) received, lifetime <1 sec","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
39,40,10.30 16:49:10,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 845 bytes sent, 12076 bytes (11.7 KB) received, lifetime <1 sec","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
40,41,10.30 16:49:10,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
41,42,10.30 16:49:11,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
42,43,10.30 16:49:11,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
43,44,10.30 16:49:11,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
44,45,10.30 16:49:11,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
45,46,10.30 16:49:11,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
46,47,10.30 16:49:11,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 431 bytes sent, 7896 bytes (7.71 KB) received, lifetime <1 sec","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
47,48,10.30 16:49:11,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 431 bytes sent, 9780 bytes (9.55 KB) received, lifetime <1 sec","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
48,49,10.30 16:49:11,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
49,50,10.30 16:49:11,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
50,51,10.30 16:49:11,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
51,52,10.30 16:49:12,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1590 bytes (1.55 KB) sent, 472 bytes received, lifetime 00:01","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
52,53,10.30 16:49:12,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
53,54,10.30 16:49:12,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 416 bytes sent, 10670 bytes (10.4 KB) received, lifetime 00:01","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
54,55,10.30 16:49:12,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
55,56,10.30 16:49:12,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
56,57,10.30 16:49:12,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1327 bytes (1.29 KB) sent, 3250 bytes (3.17 KB) received, lifetime <1 sec","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
57,58,10.30 16:49:12,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
58,59,10.30 16:49:12,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1107 bytes (1.08 KB) sent, 29322 bytes (28.6 KB) received, lifetime <1 sec","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
59,60,10.30 16:49:12,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
60,61,10.30 16:49:15,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
61,62,10.30 16:49:28,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:17","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
62,63,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
63,64,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
64,65,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
65,66,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
66,67,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
67,68,10.30 16:49:28,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1133 bytes (1.10 KB) sent, 11393 bytes (11.1 KB) received, lifetime <1 sec","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
68,69,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
69,70,10.30 16:49:28,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 483 bytes sent, 342 bytes received, lifetime <1 sec","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
70,71,10.30 16:49:28,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1210 bytes (1.18 KB) sent, 366 bytes received, lifetime <1 sec","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
71,72,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
72,73,10.30 16:49:28,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
73,74,10.30 16:49:28,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 697 bytes sent, 324 bytes received, lifetime <1 sec","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
74,75,10.30 16:49:28,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 704 bytes sent, 2476 bytes (2.41 KB) received, lifetime <1 sec","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
75,76,10.30 16:49:28,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 7829 bytes (7.64 KB) sent, 578548 bytes (564 KB) received, lifetime 00:18","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
76,77,10.30 16:49:28,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 3425 bytes (3.34 KB) sent, 212164 bytes (207 KB) received, lifetime 00:18","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
77,78,10.30 16:49:28,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
78,79,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
79,80,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
80,81,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
81,82,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
82,83,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
83,84,10.30 16:49:28,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 934 bytes sent, 5869 bytes (5.73 KB) received, lifetime <1 sec","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
84,85,10.30 16:49:29,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
85,86,10.30 16:49:29,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1325 bytes (1.29 KB) sent, 514 bytes received, lifetime <1 sec","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
86,87,10.30 16:49:29,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1293 bytes (1.26 KB) sent, 2439 bytes (2.38 KB) received, lifetime <1 sec","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
87,88,10.30 16:49:29,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
88,89,10.30 16:49:29,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
89,90,10.30 16:49:29,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
90,91,10.30 16:49:29,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
91,92,10.30 16:49:29,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 508 bytes sent, 29786 bytes (29.0 KB) received, lifetime <1 sec","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
92,93,10.30 16:49:29,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 508 bytes sent, 47293 bytes (46.1 KB) received, lifetime <1 sec","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
93,94,10.30 16:49:29,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:01","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
94,95,10.30 16:49:29,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1190 bytes (1.16 KB) sent, 367 bytes received, lifetime <1 sec","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
95,96,10.30 16:49:29,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
96,97,10.30 16:49:29,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
97,98,10.30 16:49:29,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
98,99,10.30 16:49:29,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
99,100,10.30 16:49:29,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1293 bytes (1.26 KB) sent, 2247 bytes (2.19 KB) received, lifetime <1 sec","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
100,101,10.30 16:49:29,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1033 bytes (1.00 KB) sent, 46810 bytes (45.7 KB) received, lifetime <1 sec","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
101,102,10.30 16:49:29,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 2380 bytes (2.32 KB) sent, 678 bytes received, lifetime <1 sec","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
102,103,10.30 16:49:30,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
103,104,10.30 16:49:30,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 974 bytes sent, 9624 bytes (9.39 KB) received, lifetime <1 sec","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
104,105,10.30 16:49:30,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 4512 bytes (4.40 KB) sent, 82166 bytes (80.2 KB) received, lifetime 00:01","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
105,106,10.30 16:49:30,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
106,107,10.30 16:49:30,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1119 bytes (1.09 KB) sent, 3210 bytes (3.13 KB) received, lifetime <1 sec","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
107,108,10.30 16:49:30,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 458 bytes sent, 1781 bytes (1.73 KB) received, lifetime <1 sec","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
108,109,10.30 16:49:31,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1188 bytes (1.16 KB) sent, 421 bytes received, lifetime <1 sec","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
109,110,10.30 16:49:31,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1257 bytes (1.22 KB) sent, 421 bytes received, lifetime <1 sec","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
110,111,10.30 16:49:31,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1257 bytes (1.22 KB) sent, 421 bytes received, lifetime <1 sec","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
111,112,10.30 16:49:31,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:02","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
112,113,10.30 16:49:31,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
113,114,10.30 16:49:31,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
114,115,10.30 16:49:31,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:02","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
115,116,10.30 16:49:32,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1301 bytes (1.27 KB) sent, 434 bytes received, lifetime <1 sec","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
116,117,10.30 16:49:32,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:01","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
117,118,10.30 16:49:33,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1034 bytes (1.00 KB) sent, 17383 bytes (16.9 KB) received, lifetime <1 sec","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
118,119,10.30 16:49:35,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:04","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
119,120,10.30 16:49:48,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:17","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
120,121,10.30 16:49:52,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
121,122,10.30 16:49:52,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*> <*> open through proxy <*> <*> HTTPS,Event8
122,123,10.30 16:49:52,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1248 bytes (1.21 KB) sent, 334 bytes received, lifetime 00:20","<*> <*> close, <*> bytes0 sent, <*> bytes1 received, lifetime <*> <*>",Event6
