,LineId,Month,Date,Time,User,Component,PID,Address,Content,template,EventId
18,19,Jul,1,09:22:02,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 2450 seconds.  Ignoring.","<*> scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",Event310
19,20,Jul,1,09:22:25,calvisitor-10-105-160-95,kernel,0,,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,Event269
20,21,Jul,1,09:23:26,calvisitor-10-105-160-95,kernel,0,,AirPort: Link Down on awdl0. Reason 1 (Unspecified).,AirPort: Link Down on awdl0. Reason <*> (Unspecified).,Event287
21,22,Jul,1,09:23:26,calvisitor-10-105-160-95,kernel,0,,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route <*> <*> port <*> <*> unplug <*> <*>,Event357
22,23,Jul,1,09:24:13,calvisitor-10-105-160-95,kernel,0,,"PM response took 2010 ms (54, powerd)",PM response took <*> ms <*> powerd),Event219
23,24,Jul,1,09:25:21,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 438666 seconds.  Ignoring.","<*> scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",Event310
24,25,Jul,1,09:25:45,calvisitor-10-105-160-95,kernel,0,,"ARPT: 621131.293163: wl0: Roamed or switched channel, reason #8, bssid 5c:50:15:4c:18:13, last RSSI -64","ARPT: <*> wl0: Roamed or switched channel, reason <*> bssid <*> last RSSI <*>",Event354
25,26,Jul,1,09:25:59,calvisitor-10-105-160-95,kernel,0,,"ARPT: 621145.554555: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': 0,","ARPT: <*> IOPMPowerSource Information: onSleep, SleepType: Normal Sleep, 'ExternalConnected': <*> 'TimeRemaining': <*> ",Event336
26,27,Jul,1,09:26:41,calvisitor-10-105-160-95,kernel,0,,"ARPT: 621146.080894: wl0: wl_update_tcpkeep_seq: Original Seq: 3014995849, Ack: 2590995288, Win size: 4096",ARPT: <*> wl0: wl_update_tcpkeep_seq: Original Seq: <*> Ack: <*> Win size: <*>,Event228
27,28,Jul,1,09:26:43,calvisitor-10-105-160-95,networkd,195,,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from 0x4 to 0x8000000000000000,nw_nat64_post_new_ifstate successfully changed <*> ifstate from <*> to <*>,Event347
28,29,Jul,1,09:26:47,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 2165 seconds.  Ignoring.","<*> scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",Event310
29,30,Jul,1,09:27:01,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.EscrowSecurityAlert.daily: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 13090 seconds.  Ignoring.","<*> scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",Event310
30,31,Jul,1,09:27:06,calvisitor-10-105-160-95,kernel,0,,"IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)","IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)",Event307
31,32,Jul,1,09:28:41,authorMacBook-Pro,netbiosd,31198,,"network_reachability_changed : network is not reachable, netbiosd is shutting down","network_reachability_changed : network <*> not reachable, netbiosd <*> shutting down",Event0
32,33,Jul,1,09:28:41,authorMacBook-Pro,corecaptured,31206,,CCFile::captureLogRun() Exiting CCFile::captureLogRun,CCFile::captureLogRun() Exiting CCFile::captureLogRun,Event343
33,34,Jul,1,09:28:50,calvisitor-10-105-160-95,com.apple.CDScheduler,258,,Thermal pressure state: 1 Memory pressure state: 0,Thermal pressure0 state:0 <*> Memory pressure1 state:1 <*>,Event319
34,35,Jul,1,09:28:53,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 2039 seconds.  Ignoring.","<*> scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",Event310
35,36,Jul,1,09:29:02,calvisitor-10-105-160-95,sandboxd,129,[31211],com.apple.Addres(31211) deny network-outbound /private/var/run/mDNSResponder,com.apple.Addres(31211) deny network-outbound /private/var/run/mDNSResponder,Event1
36,37,Jul,1,09:29:14,calvisitor-10-105-160-95,kernel,0,,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,Event269
37,38,Jul,1,09:29:25,calvisitor-10-105-160-95,kernel,0,,ARPT: 621241.634070: wl0: MDNS: IPV6 Addr: 2607:f140:6000:8:c6b3:1ff:fecd:467f,ARPT: <*> wl0: MDNS: IPV6 Addr: <*>,Event407
38,39,Jul,1,09:31:48,authorMacBook-Pro,kernel,0,,AirPort: Link Up on en0,AirPort: Link Up on <*>,Event115
39,40,Jul,1,09:31:53,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 438274 seconds.  Ignoring.","<*> scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",Event310
40,41,Jul,1,09:32:03,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 1849 seconds.  Ignoring.","<*> scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",Event310
41,42,Jul,1,09:32:13,calvisitor-10-105-160-95,kernel,0,,Sandbox: com.apple.Addres(31229) deny(1) network-outbound /private/var/run/mDNSResponder,Sandbox: com.apple.Addres(31229) deny(1) network-outbound /private/var/run/mDNSResponder,Event2
42,43,Jul,1,09:32:28,calvisitor-10-105-160-95,mDNSResponder,91,,mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (FE80:0000:0000:0000:D8A5:90FF:FEF5:7FFF),mDNS_DeregisterInterface: Frequent transitions for interface <*> <*>,Event63
43,44,Jul,1,09:33:13,calvisitor-10-105-160-95,kernel,0,,ARPT: 621342.242614: AirPort_Brcm43xx::platformWoWEnable: WWEN[enable],ARPT: <*> AirPort_Brcm43xx::platformWoWEnable: WWEN[ enable] ,Event339
44,45,Jul,1,09:33:13,calvisitor-10-105-160-95,kernel,0,,AirPort: Link Up on awdl0,AirPort: Link Up on awdl0,Event256
45,46,Jul,1,09:33:13,authorMacBook-Pro,kernel,0,,AppleCamIn::systemWakeCall - messageType = 0xE0000340,AppleCamIn::systemWakeCall - messageType = <*>,Event409
46,47,Jul,1,09:33:58,calvisitor-10-105-160-95,kernel,0,,ARPT: 621389.379319: wl0: MDNS: IPV6 Addr: 2607:f140:6000:8:c6b3:1ff:fecd:467f,ARPT: <*> wl0: MDNS: IPV6 Addr: <*>,Event407
47,48,Jul,1,09:34:42,calvisitor-10-105-160-95,kernel,0,,AppleThunderboltGenericHAL::earlyWake - complete - took 0 milliseconds,AppleThunderboltGenericHAL::earlyWake <*> complete <*> took <*> milliseconds,Event377
48,49,Jul,1,09:34:52,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 438095 seconds.  Ignoring.","<*> scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",Event310
49,50,Jul,1,09:35:27,calvisitor-10-105-160-95,mDNSResponder,91,,mDNS_DeregisterInterface: Frequent transitions for interface en0 (2607:F140:6000:0008:C6B3:01FF:FECD:467F),mDNS_DeregisterInterface: Frequent transitions for interface <*> <*>,Event63
50,51,Jul,1,09:36:19,calvisitor-10-105-160-95,kernel,0,,AppleThunderboltNHIType2::waitForOk2Go2Sx - retries = 7,AppleThunderboltNHIType2::waitForOk2Go2Sx - retries = <*>,Event213
51,52,Jul,1,09:39:57,calvisitor-10-105-160-95,kernel,0,,"ARPT: 621490.858770: wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 2119064372, Ack 3325040593, Win size 278",ARPT: <*> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq <*> Ack <*> Win size <*>,Event309
52,53,Jul,1,09:39:57,calvisitor-10-105-160-95,kernel,0,,ARPT: 621490.890645: AirPort_Brcm43xx::syncPowerState: WWEN[enabled],ARPT: <*> AirPort_Brcm43xx::syncPowerState: WWEN[ enabled] ,Event375
53,54,Jul,1,09:39:57,calvisitor-10-105-160-95,kernel,0,,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route <*> <*> port <*> <*> unplug <*> <*>,Event357
54,55,Jul,1,09:39:57,authorMacBook-Pro,kernel,0,,ARPT: 621492.770239: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],ARPT: <*> AirPort_Brcm43xx::platformWoWEnable: WWEN[ disable] ,Event285
55,56,Jul,1,09:41:34,calvisitor-10-105-160-95,kernel,0,,en0::IO80211Interface::postMessage bssid changed,en0::IO80211Interface::postMessage bssid changed,Event352
56,57,Jul,1,09:41:34,authorMacBook-Pro,kernel,0,,ARPT: 621542.378462: ARPT: Wake Reason: Wake on Scan offload,ARPT:0 <*> ARPT:1 Wake0 Reason: Wake1 on Scan offload,Event268
57,58,Jul,1,09:41:34,authorMacBook-Pro,symptomsd,215,,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,<*> NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:] _block_invoke unexpected switch value <*>,Event338
58,59,Jul,1,09:41:44,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 1268 seconds.  Ignoring.","<*> scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",Event310
59,60,Jul,1,09:41:44,calvisitor-10-105-160-95,com.apple.cts,43,,"com.apple.CacheDelete.daily: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 12119 seconds.  Ignoring.","<*> scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",Event310
60,61,Jul,1,09:41:54,calvisitor-10-105-160-95,com.apple.CDScheduler,258,,Thermal pressure state: 0 Memory pressure state: 0,Thermal pressure0 state:0 <*> Memory pressure1 state:1 <*>,Event319
61,62,Jul,1,09:41:54,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 437673 seconds.  Ignoring.","<*> scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",Event310
62,63,Jul,1,09:42:16,calvisitor-10-105-160-95,com.apple.cts,43,,"com.apple.CacheDelete.daily: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 12087 seconds.  Ignoring.","<*> scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",Event310
63,64,Jul,1,09:42:23,calvisitor-10-105-160-95,kernel,0,,AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = 1 dlla_reporting_supported = 0,AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp <*> <*> dlla_reporting_supported <*> <*>,Event340
64,65,Jul,1,09:42:54,calvisitor-10-105-160-95,kernel,0,,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,Event269
65,66,Jul,1,09:43:22,calvisitor-10-105-160-95,mDNSResponder,91,,mDNS_RegisterInterface: Frequent transitions for interface en0 (FE80:0000:0000:0000:C6B3:01FF:FECD:467F),mDNS_RegisterInterface: Frequent transitions for interface <*> <*>,Event341
66,67,Jul,1,09:44:23,authorMacBook-Pro,kernel,0,,AppleCamIn::wakeEventHandlerThread,AppleCamIn::wakeEventHandlerThread,Event411
67,68,Jul,1,09:44:26,authorMacBook-Pro,kernel,0,,AirPort: Link Up on en0,AirPort: Link Up on <*>,Event115
68,69,Jul,1,09:44:32,calvisitor-10-105-160-95,com.apple.CDScheduler,43,,Thermal pressure state: 1 Memory pressure state: 0,Thermal pressure0 state:0 <*> Memory pressure1 state:1 <*>,Event319
69,70,Jul,1,09:45:08,calvisitor-10-105-160-95,kernel,0,,"ARPT: 621686.164365: wl0: setup_keepalive: Local port: 62614, Remote port: 443",ARPT: <*> wl0: setup_keepalive: Local port:0 <*> Remote port:1 <*>,Event335
70,71,Jul,1,09:45:46,authorMacBook-Pro,symptomsd,215,,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,<*> NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:] _block_invoke unexpected switch value <*>,Event338
71,72,Jul,1,09:45:52,calvisitor-10-105-160-95,networkd,195,,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from 0x4 to 0x8000000000000000,nw_nat64_post_new_ifstate successfully changed <*> ifstate from <*> to <*>,Event347
72,73,Jul,1,09:59:26,calvisitor-10-105-160-95,kernel,0,,ARPT: 621738.114066: AirPort_Brcm43xx::platformWoWEnable: WWEN[enable],ARPT: <*> AirPort_Brcm43xx::platformWoWEnable: WWEN[ enable] ,Event339
73,74,Jul,1,10:08:20,calvisitor-10-105-160-95,Dock,307,,-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (null) UASuggestedActionType=0 (null)/(null) opts=(null) when=2017-07-01 17:08:20 +0000 confidence=1 from=(null)/(null) (UABestAppSuggestionManager.m #319),-[ UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (null) UASuggestedActionType=0 (null)/(null) opts=(null) <*> <*> <*> confidence=1 from=(null)/(null) (UABestAppSuggestionManager.m <*>,Event404
74,75,Jul,1,10:08:20,calvisitor-10-105-160-95,kernel,0,,en0: channel changed to 1,en0: channel changed to <*>,Event304
75,76,Jul,1,10:08:20,authorMacBook-Pro,kernel,0,,ARPT: 621799.252673: AQM agg results 0x8001 len hi/lo: 0x0 0x26 BAbitmap(0-3) 0 0 0 0,ARPT: <*> AQM agg results <*> len hi/lo: <*> <*> BAbitmap(0-3) <*> <*> <*> <*>,Event211
76,77,Jul,1,10:08:21,authorMacBook-Pro,corecaptured,31313,,"CCFile::captureLog Received Capture notice id: 1498928900.759059, reason = AuthFail:sts:5_rsn:0",CCFile::captureLog Received Capture notice id: <*> reason = AuthFail:sts:5_rsn:0,Event348
77,78,Jul,1,10:08:29,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.EscrowSecurityAlert.daily: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 10602 seconds.  Ignoring.","<*> scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",Event310
78,79,Jul,1,10:08:49,calvisitor-10-105-160-95,kernel,0,,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from AUTO to SUSPENDED,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from AUTO to SUSPENDED,Event399
79,80,Jul,1,10:08:55,calvisitor-10-105-160-95,AddressBookSourceSync,31318,,Unrecognized attribute value: t:AbchPersonItemType,Unrecognized attribute value: t:AbchPersonItemType,Event116
80,81,Jul,1,10:09:58,calvisitor-10-105-160-95,kernel,0,,AppleCamIn::systemWakeCall - messageType = 0xE0000340,AppleCamIn::systemWakeCall - messageType = <*>,Event409
81,82,Jul,1,10:10:24,calvisitor-10-105-160-95,kernel,0,,Sandbox: com.apple.Addres(31328) deny(1) network-outbound /private/var/run/mDNSResponder,Sandbox: com.apple.Addres(31328) deny(1) network-outbound /private/var/run/mDNSResponder,Event3
82,83,Jul,1,10:10:27,calvisitor-10-105-160-95,kernel,0,,Sandbox: com.apple.Addres(31328) deny(1) network-outbound /private/var/run/mDNSResponder,Sandbox: com.apple.Addres(31328) deny(1) network-outbound /private/var/run/mDNSResponder,Event3
83,84,Jul,1,10:13:39,calvisitor-10-105-160-95,secd,276,,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=1035 ""Account identity not set"" UserInfo={NSDescription=Account identity not set}","SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error <*> ""Account identity0 not0 set"" UserInfo={NSDescription=Account identity1 not1 set}",Event405
84,85,Jul,1,10:13:43,calvisitor-10-105-160-95,SpotlightNetHelper,352,,"CFPasteboardRef CFPasteboardCreate(CFAllocatorRef, CFStringRef) : failed to create global data","CFPasteboardRef CFPasteboardCreate(CFAllocatorRef, CFStringRef) : failed to create global data",Event239
85,86,Jul,1,10:13:57,calvisitor-10-105-160-95,kernel,0,,Sandbox: com.apple.Addres(31346) deny(1) network-outbound /private/var/run/mDNSResponder,Sandbox: com.apple.Addres(31346) deny(1) network-outbound /private/var/run/mDNSResponder,Event4
86,87,Jul,1,10:38:53,calvisitor-10-105-160-95,sandboxd,129,[31376],com.apple.Addres(31376) deny network-outbound /private/var/run/mDNSResponder,com.apple.Addres(31376) deny network-outbound /private/var/run/mDNSResponder,Event5
87,88,Jul,1,10:46:47,calvisitor-10-105-160-95,kernel,0,,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 12 unplug = 0,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route <*> <*> port <*> <*> unplug <*> <*>,Event357
88,89,Jul,1,10:46:47,calvisitor-10-105-160-95,sharingd,30299,,10:46:47.425 : BTLE scanner Powered On,<*> : BTLE scanner Powered On,Event333
89,90,Jul,1,10:46:48,calvisitor-10-105-160-95,QQ,10018,,button report: 0x8002be0,button report: <*>,Event369
90,91,Jul,1,10:47:08,calvisitor-10-105-160-95,sandboxd,129,[31382],com.apple.Addres(31382) deny network-outbound /private/var/run/mDNSResponder,com.apple.Addres(31382) deny network-outbound /private/var/run/mDNSResponder,Event6
91,92,Jul,1,11:20:51,calvisitor-10-105-160-95,sharingd,30299,,11:20:51.293 : BTLE discovered device with hash <01faa200 00000000 0000>,<*> : BTLE discovered device with hash <*> <*> <*>,Event7
92,93,Jul,1,11:24:45,calvisitor-10-105-160-95,secd,276,,"securityd_xpc_dictionary_handler cloudd[326] copy_matching Error Domain=NSOSStatusErrorDomain Code=-50 ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}","securityd_xpc_dictionary_handler cloudd[ <*> copy_matching Error Domain=NSOSStatusErrorDomain Code=-50 ""query missing0 class0 name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing1 class1 name}",Event390
93,94,Jul,1,11:29:32,calvisitor-10-105-160-95,locationd,82,,Location icon should now be in state 'Inactive',Location icon should now be in state 'Inactive',Event401
94,95,Jul,1,11:38:18,calvisitor-10-105-160-95,kernel,0,,"ARPT: 626126.086205: wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10",ARPT: <*> wl0: setup_keepalive: interval <*> retry_interval <*> retry_count <*>,Event334
95,96,Jul,1,11:38:18,calvisitor-10-105-160-95,kernel,0,,ARPT: 626126.086246: wl0: MDNS: IPV4 Addr: 10.105.160.95,ARPT: <*> wl0: MDNS: IPV4 Addr: <*>,Event153
96,97,Jul,1,11:39:47,calvisitor-10-105-160-95,kernel,0,,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 12 unplug = 0,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route <*> <*> port <*> <*> unplug <*> <*>,Event357
97,98,Jul,1,11:39:47,authorMacBook-Pro,kernel,0,,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from AUTO to SUSPENDED,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from AUTO to SUSPENDED,Event399
98,99,Jul,1,11:39:48,authorMacBook-Pro,kernel,0,,en0::IO80211Interface::postMessage bssid changed,en0::IO80211Interface::postMessage bssid changed,Event352
99,100,Jul,1,11:39:48,calvisitor-10-105-160-95,networkd,195,,__42-[NETClientConnection evaluateCrazyIvan46]_block_invoke CI46 - Hit by torpedo! QQ.10018 tc19060 125.39.133.143:14000,<*> NETClientConnection evaluateCrazyIvan46] _block_invoke <*> - Hit by torpedo! <*> <*> <*>,Event367
100,101,Jul,1,11:39:48,calvisitor-10-105-160-95,kernel,0,,ARPT: 626132.740936: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],ARPT: <*> AirPort_Brcm43xx::platformWoWEnable: WWEN[ disable] ,Event285
101,102,Jul,1,11:41:26,authorMacBook-Pro,kernel,0,,"Setting BTCoex Config: enable_2G:1, profile_2g:0, enable_5G:1, profile_5G:0","Setting BTCoex Config: enable_2G:1, profile_2g:0, enable_5G:1, profile_5G:0",Event368
102,103,Jul,1,11:41:54,calvisitor-10-105-160-95,kernel,0,,Sandbox: com.apple.Addres(31432) deny(1) network-outbound /private/var/run/mDNSResponder,Sandbox: com.apple.Addres(31432) deny(1) network-outbound /private/var/run/mDNSResponder,Event8
103,104,Jul,1,11:41:55,calvisitor-10-105-160-95,kernel,0,,"IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)","IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)",Event307
104,105,Jul,1,11:43:08,authorMacBook-Pro,UserEventAgent,43,,Captive: [CNInfoNetworkActive:1748] en0: SSID 'CalVisitor' making interface primary (cache indicates network not captive),Captive: [ CNInfoNetworkActive:1748] en0: SSID 'CalVisitor' making interface primary (cache indicates network not captive),Event246
105,106,Jul,1,11:43:23,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.suggestions.harvest: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 16227 seconds.  Ignoring.","<*> scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",Event310
106,107,Jul,1,11:44:20,calvisitor-10-105-160-95,kernel,0,,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route <*> <*> port <*> <*> unplug <*> <*>,Event357
